epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1149.1,0.81669,0.47176,0.91338,0.85726,0.73596,0.79788,0.56064,0.9082,0.64254,0.99625,0.0093169,0.0093169,0.0093169
71,1167.38,0.80876,0.47364,0.91724,0.87028,0.73945,0.79965,0.57267,0.89656,0.63703,0.97779,0.009307,0.009307,0.009307
72,1181.76,0.80952,0.47359,0.91753,0.88255,0.72805,0.80441,0.5836,0.8801,0.60603,0.97108,0.0092971,0.0092971,0.0092971
73,1200.62,0.82112,0.47104,0.91743,0.84236,0.74241,0.79772,0.55405,0.94208,0.65773,1.01225,0.0092872,0.0092872,0.0092872
74,1215.63,0.82502,0.47523,0.92019,0.83471,0.75547,0.79844,0.56823,0.91146,0.64146,1.00104,0.0092773,0.0092773,0.0092773
75,1234.09,0.82141,0.47344,0.91771,0.82732,0.74838,0.79947,0.56848,0.90002,0.63862,0.98781,0.0092674,0.0092674,0.0092674
76,1248.61,0.81727,0.47822,0.92012,0.82491,0.73435,0.77741,0.55194,0.91007,0.69648,0.98596,0.0092575,0.0092575,0.0092575
77,1263.19,0.82096,0.47659,0.9207,0.83194,0.75106,0.78587,0.55983,0.89206,0.62529,0.97888,0.0092476,0.0092476,0.0092476
78,1281.58,0.81472,0.47569,0.91719,0.82919,0.73819,0.79055,0.55716,0.90796,0.68285,0.99241,0.0092377,0.0092377,0.0092377
79,1296.2,0.81504,0.47197,0.9195,0.85114,0.73199,0.78398,0.56808,0.89058,0.68157,0.98039,0.0092278,0.0092278,0.0092278
80,1314.2,0.80448,0.46659,0.91698,0.86838,0.7337,0.79842,0.58149,0.8705,0.63965,0.98263,0.0092179,0.0092179,0.0092179
81,1329.06,0.80843,0.46254,0.9119,0.81204,0.77242,0.80713,0.56528,0.92147,0.58527,1.00778,0.009208,0.009208,0.009208
82,1347.22,0.7956,0.46468,0.91205,0.84225,0.74391,0.79413,0.57428,0.91381,0.62876,1.00417,0.0091981,0.0091981,0.0091981
83,1361.51,0.80323,0.46163,0.9148,0.84632,0.76201,0.81093,0.58671,0.87883,0.56872,0.96835,0.0091882,0.0091882,0.0091882
84,1379.55,0.81401,0.46938,0.91578,0.83484,0.75777,0.8025,0.56756,0.89501,0.58392,0.99719,0.0091783,0.0091783,0.0091783
85,1394.06,0.81277,0.47548,0.91601,0.85445,0.75586,0.80747,0.583,0.86957,0.58055,0.96659,0.0091684,0.0091684,0.0091684
86,1412.23,0.80743,0.46586,0.91147,0.84292,0.76708,0.81234,0.58755,0.8557,0.55915,0.96669,0.0091585,0.0091585,0.0091585
87,1426.6,0.79259,0.46108,0.91484,0.83183,0.75966,0.80275,0.58245,0.86328,0.58565,0.96842,0.0091486,0.0091486,0.0091486
88,1441.21,0.81614,0.47376,0.91559,0.84356,0.76122,0.80979,0.58872,0.86068,0.57856,0.9632,0.0091387,0.0091387,0.0091387
89,1459.28,0.80448,0.46455,0.91384,0.85497,0.7512,0.80806,0.58437,0.87436,0.59307,0.9746,0.0091288,0.0091288,0.0091288
90,1473.73,0.79165,0.46175,0.91147,0.84857,0.76006,0.81403,0.58726,0.85935,0.56387,0.97419,0.0091189,0.0091189,0.0091189
91,1492.07,0.80707,0.47032,0.91205,0.85211,0.74447,0.79559,0.5631,0.90629,0.65101,0.98218,0.009109,0.009109,0.009109
92,1506.81,0.78646,0.44831,0.90379,0.84691,0.75167,0.80877,0.59213,0.86891,0.58493,0.96787,0.0090991,0.0090991,0.0090991
93,1524.88,0.79474,0.45852,0.90785,0.87027,0.72677,0.79796,0.57284,0.88136,0.60715,0.97024,0.0090892,0.0090892,0.0090892
94,1539.4,0.80099,0.46229,0.91063,0.85688,0.74997,0.8137,0.5924,0.8744,0.59231,0.97697,0.0090793,0.0090793,0.0090793
95,1557.74,0.7873,0.45249,0.90605,0.84696,0.75488,0.80764,0.59016,0.86893,0.60243,0.98175,0.0090694,0.0090694,0.0090694
96,1572.37,0.81203,0.46126,0.91402,0.84324,0.76781,0.80939,0.5876,0.86269,0.56438,0.97291,0.0090595,0.0090595,0.0090595
97,1590.9,0.79764,0.45789,0.91207,0.84907,0.75253,0.80023,0.57927,0.87462,0.59479,0.98213,0.0090496,0.0090496,0.0090496
98,1605.84,0.79451,0.45216,0.90545,0.86426,0.73565,0.79949,0.5826,0.86736,0.61128,0.97092,0.0090397,0.0090397,0.0090397
99,1620.95,0.78292,0.44763,0.90584,0.84959,0.76055,0.81253,0.58412,0.87714,0.57593,0.97655,0.0090298,0.0090298,0.0090298
100,1638.95,0.78685,0.4475,0.90486,0.8476,0.75463,0.80875,0.58673,0.86323,0.56519,0.96707,0.0090199,0.0090199,0.0090199
101,1653.26,0.80915,0.46305,0.90762,0.83828,0.75485,0.80288,0.58882,0.8537,0.61882,0.96459,0.00901,0.00901,0.00901
102,1671.61,0.77664,0.44486,0.90594,0.85995,0.75595,0.81143,0.58917,0.87279,0.60932,0.97064,0.0090001,0.0090001,0.0090001
103,1686.39,0.77934,0.44474,0.90207,0.84314,0.76131,0.81477,0.59621,0.85178,0.59005,0.96127,0.0089902,0.0089902,0.0089902
104,1704.8,0.79094,0.45209,0.91169,0.85747,0.73632,0.79981,0.58055,0.88071,0.64365,0.97256,0.0089803,0.0089803,0.0089803
105,1719.52,0.77634,0.44692,0.90865,0.84764,0.76288,0.81424,0.59439,0.84939,0.56755,0.95452,0.0089704,0.0089704,0.0089704
106,1737.49,0.77136,0.44324,0.90709,0.83206,0.76096,0.80406,0.58029,0.87292,0.59009,0.97423,0.0089605,0.0089605,0.0089605
107,1752.23,0.78548,0.44972,0.90625,0.84575,0.75451,0.80288,0.58072,0.8716,0.63017,0.96529,0.0089506,0.0089506,0.0089506
108,1770.82,0.79391,0.45372,0.90781,0.8581,0.76076,0.81672,0.59221,0.86935,0.58515,0.96525,0.0089407,0.0089407,0.0089407
109,1785.44,0.78972,0.44465,0.90366,0.84418,0.76281,0.81226,0.58765,0.85488,0.58105,0.9636,0.0089308,0.0089308,0.0089308
110,1799.87,0.78174,0.44567,0.9037,0.85285,0.75548,0.80472,0.57869,0.8721,0.60241,0.96809,0.0089209,0.0089209,0.0089209
111,1817.9,0.79469,0.4531,0.90588,0.84858,0.76645,0.81462,0.59745,0.84246,0.56508,0.95724,0.008911,0.008911,0.008911
112,1832.58,0.77631,0.44074,0.90589,0.8561,0.75037,0.80133,0.55567,0.97417,0.65788,1.04649,0.0089011,0.0089011,0.0089011
113,1850.86,0.76589,0.44243,0.90248,0.85457,0.77968,0.8236,0.60022,0.84402,0.54471,0.94929,0.0088912,0.0088912,0.0088912
114,1865.45,0.78072,0.44476,0.90341,0.8468,0.75874,0.80439,0.58514,0.86739,0.59055,0.9666,0.0088813,0.0088813,0.0088813
115,1883.53,0.7973,0.45587,0.91222,0.84585,0.76362,0.80801,0.58782,0.86167,0.5569,0.96048,0.0088714,0.0088714,0.0088714
116,1898.05,0.77826,0.44356,0.90687,0.83923,0.76583,0.81017,0.58558,0.86572,0.55988,0.96869,0.0088615,0.0088615,0.0088615
117,1916.95,0.77597,0.43802,0.90754,0.84365,0.76568,0.81075,0.58693,0.86161,0.56027,0.97096,0.0088516,0.0088516,0.0088516
118,1931.47,0.76833,0.44014,0.90171,0.85134,0.75936,0.81578,0.59578,0.85181,0.5588,0.9577,0.0088417,0.0088417,0.0088417
119,1949.78,0.7705,0.44035,0.89776,0.85966,0.76081,0.81534,0.59271,0.85129,0.55002,0.9662,0.0088318,0.0088318,0.0088318
120,1964.68,0.77329,0.44352,0.90822,0.86819,0.74726,0.8104,0.59485,0.83861,0.54603,0.95011,0.0088219,0.0088219,0.0088219
121,1979.23,0.75584,0.43444,0.90547,0.86021,0.75137,0.80658,0.58666,0.84718,0.58895,0.96444,0.008812,0.008812,0.008812
122,1997.53,0.77632,0.44531,0.90653,0.8522,0.75583,0.80565,0.58118,0.86211,0.56152,0.97544,0.0088021,0.0088021,0.0088021
123,2012.05,0.77069,0.44459,0.90458,0.84811,0.7761,0.81862,0.59661,0.84778,0.52677,0.95321,0.0087922,0.0087922,0.0087922
124,2030.31,0.7919,0.45007,0.90602,0.84494,0.76863,0.81209,0.5903,0.84753,0.54036,0.96503,0.0087823,0.0087823,0.0087823
125,2045.17,0.78065,0.4392,0.90177,0.86463,0.76318,0.81732,0.59798,0.84553,0.55837,0.95622,0.0087724,0.0087724,0.0087724
126,2063.19,0.78254,0.44548,0.90406,0.85505,0.76523,0.8171,0.59815,0.83395,0.54708,0.95323,0.0087625,0.0087625,0.0087625
127,2078.13,0.76877,0.4356,0.90245,0.85175,0.76068,0.81647,0.59916,0.84301,0.56009,0.96204,0.0087526,0.0087526,0.0087526
128,2096.18,0.78967,0.44849,0.90638,0.84601,0.76718,0.81385,0.59079,0.85749,0.55507,0.96999,0.0087427,0.0087427,0.0087427
129,2110.61,0.76162,0.43365,0.90083,0.86018,0.76153,0.81723,0.59846,0.8447,0.54744,0.95575,0.0087328,0.0087328,0.0087328
